Guid	Word	Reading	ContextHint
mlt=}}y*g	鍛錬	たんれん	技を極めるための厳しい訓練
cya_t^YRa&	鐘	かね	大きくて良い音が鳴る金属の道具
w9?RhV[Qh>	縮める	ちぢめる	長さや大きさを短くすること
"I`}#5u/I3E"	風情	ふぜい	その場所ならではの味わい
n2*.egyalc	並	なみ	特別ではない普通の程度
J-Y}T3&%vo	軽やか	かろやか	重苦しさがなく身がるな様子
jq5dlH`n5%	忌々しい	いまいましい	腹が立って面白くない様子
xy{/B[x1/r	牛乳	ぎゅうにゅう	白い飲み物でカルシウムが豊富
N!nL%{;T,2	構築	こうちく	組織や建物を組み立てること
O,^k@NG1(>	集う	つどう	多くの人が一か所にあつまる
F<8,e-}ch:	陰に	いんに	表に出ないようにひそやかに
gl%LiG7i21	財産	ざいさん	個人や会社が持っている価値あるもの
q4B1unE~<1	覆す	くつがえす	結果や立場を逆転させること
F+OyWmsN^^	睡眠	すいみん	体を休めるための深い休息
Bsv!1JJ8t	渋々	しぶしぶ	嫌々ながら仕方なく行う様子
w:rfp2%7@*	見出す	みいだす	探していたものをはっけんする
l[3F^PK;v=	暫く	しばらく	少しの間時間が経過する様子
COauYB>sB~	投入	とうにゅう	資源や人材を送り込むこと
Pu>r4fJ%t(	瞬く間に	またたくまに	非常に短いじかんで変化する様子
"I4^L.cv7$#"	平凡	へいぼん	特に優れた点がない様子
k?[[($!L}}	弄る	いじる	手で触ってあれこれ触る
Deoe%fjP[e	浮遊	ふゆう	空中や水面に漂うこと
cO>cf)KNw4	探偵	たんてい	事件の謎を調べる職業
t2=Q;KmB&!	勤める	つとめる	会社や役所に雇われて働く
tXDt3i_FF9	不吉	ふきつ	何か悪いことが起きそうな様子
FOcgxfat$8	臆病	おくびょう	小さなことでも怖がる様子
Ag3H7?<b/p	交える	まじえる	意見や物を混ぜ合わせること
N,JMyFy@|_	活かす	いかす	能力を有効に使うこと
bPe%%^i2P}	死神	しにがみ	人の命を奪う伝説上の存在
